num_points,accuracy
5.000000000000000000e+01,8.082658022690438315e+01
1.000000000000000000e+02,8.370988654781199045e+01
5.000000000000000000e+02,8.921880064829821322e+01
1.000000000000000000e+03,8.998330632090761583e+01
5.000000000000000000e+03,9.034029173419773429e+01
1.000000000000000000e+04,9.029893030794164588e+01
